header,title,titleUrl,description,time,products,details,activityControls,subtitles
YouTube,"Watched Use Hand Gestures to Control Games like Subway Surfers, Hill Climb Racing",https://www.youtube.com/watch?v=iODL_Xb4IS4,,2026-01-03T08:02:47.601Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Ojas Mittal', 'url': 'https://www.youtube.com/channel/UC-lWohuxnjIAv-biTNbhnEQ'}]"
YouTube,"Watched Python Project: Automate Hill Climb Racing Game Using Python | OpenCv, Mediapipe | KNOWLEDGE DOCTOR",https://www.youtube.com/watch?v=ZBtk3GmJMTE,,2026-01-03T08:00:58.556Z,['YouTube'],,['YouTube watch history'],"[{'name': 'KNOWLEDGE DOCTOR', 'url': 'https://www.youtube.com/channel/UCwlhFburhQNOsfgeGOyRujg'}]"
YouTube,Watched Hand Gesture-Controlled Automation for Hill Climb Racing Using Python & Mediapipe,https://www.youtube.com/watch?v=XsfvBMri7nk,,2026-01-03T08:00:33.836Z,['YouTube'],,['YouTube watch history'],"[{'name': 'webpoint', 'url': 'https://www.youtube.com/channel/UCyn96sM4YqYUqFTS4-j4VAg'}]"
YouTube,"Watched Aparichit : Heavy rain brings a stranger to the door, seeking shelter | Short Film",https://www.youtube.com/watch?v=sbMkZSHA5UY,,2026-01-02T19:49:42.643Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Setups & Payoffs Studios', 'url': 'https://www.youtube.com/channel/UCzuzJsqS4Yxfr1smtEzCleQ'}]"
YouTube,Watched Google NotebookLM | Learn your way | 16x9,https://www.youtube.com/watch?v=8U4lykN4h8Y,Watched at 1:19 AM,2026-01-02T19:49:36.004Z,['YouTube'],[{'name': 'From Google Ads'}],"['Web & App Activity', 'YouTube watch history', 'YouTube search history']",
YouTube,Watched Demons | Official Trailer | Vinay Sharma | Swati Semwal | Watch for Free on ZEE5,https://www.youtube.com/watch?v=2myjZYS1AQg,,2026-01-02T19:46:30.801Z,['YouTube'],,['YouTube watch history'],"[{'name': 'ZEE5', 'url': 'https://www.youtube.com/channel/UCXOgAl4w-FQero1ERbGHpXQ'}]"
YouTube,Watched Demons | A Telugu Short Film by Rahul  Mallam & Sri Sairam Pothuri | ConflictX,https://www.youtube.com/watch?v=1FAVK75bsVM,,2026-01-02T19:37:11.707Z,['YouTube'],,['YouTube watch history'],"[{'name': 'conflict x', 'url': 'https://www.youtube.com/channel/UCft26dN-FzxY2cI1LjKIf3A'}]"
YouTube,"Watched Deep Drowsiness Detection using YOLO, Pytorch and Python",https://www.youtube.com/watch?v=tFNJGim3FXw,,2026-01-02T18:40:58.657Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Nicholas Renotte', 'url': 'https://www.youtube.com/channel/UCHXa4OpASJEwrHrLeIzw7Yg'}]"
YouTube,Watched #shorts  Driver Drowsy Detection,https://www.youtube.com/watch?v=oQaxyyP_E8Y,,2026-01-02T18:40:51.279Z,['YouTube'],,['YouTube watch history'],"[{'name': 'LearnOpenCV', 'url': 'https://www.youtube.com/channel/UCeoXXZ2u_cUQ6CJ-oXpss9w'}]"
YouTube,Watched Driver Drowsiness Detection Using MediaPipe In Python,https://www.youtube.com/watch?v=oRetfsmyu1s,,2026-01-02T18:40:46.122Z,['YouTube'],,['YouTube watch history'],"[{'name': 'LearnOpenCV', 'url': 'https://www.youtube.com/channel/UCeoXXZ2u_cUQ6CJ-oXpss9w'}]"
YouTube,Watched Groww_UAC_Trading_Greeks_L_IN,https://www.youtube.com/watch?v=e-a7bG1mUjI,Watched at 12:10 AM,2026-01-02T18:40:31.891Z,['YouTube'],[{'name': 'From Google Ads'}],"['Web & App Activity', 'YouTube watch history', 'YouTube search history']",
YouTube,Watched Computer Vision Project | Driver drowsiness detection | Full code explanation | OpenCV Python Dlib,https://www.youtube.com/watch?v=ksi42rwGyas,,2026-01-02T18:40:27.060Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Aryan verma (Infoaryan)', 'url': 'https://www.youtube.com/channel/UC1ZKxR-KBnw0TckkXezAc-w'}]"
YouTube,"Watched DIY Machine Learning, Deep Learning, & AI projects",https://www.youtube.com/watch?v=x20Kk6G0QkU,,2026-01-02T18:39:40.056Z,['YouTube'],,['YouTube watch history'],"[{'name': 'IBM Technology', 'url': 'https://www.youtube.com/channel/UCKWaEZ-_VweaEx1j62do_vQ'}]"
YouTube,Watched Punju Boot Camp🐓 #shortvideo #shorts #short,https://www.youtube.com/watch?v=cGUZmatTzSY,,2026-01-02T18:39:39.464Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Unq Gamer', 'url': 'https://www.youtube.com/channel/UCabjixiIIRDY6-dmaQVbPlA'}]"
YouTube,Watched Real Time Hand Gesture Recognition | Python Application | Computer Vision,https://www.youtube.com/watch?v=7592YI9kEfU,,2026-01-02T18:38:09.503Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Techpacs', 'url': 'https://www.youtube.com/channel/UCWgXZELRUmpIKNv8KufXVpw'}]"
YouTube,Watched Hand gesture recognition using open cv and python!,https://www.youtube.com/watch?v=2q2jib7YQrc,,2026-01-02T18:38:00.343Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Trey', 'url': 'https://www.youtube.com/channel/UC4jRfqCzjpJNk-5Y0Aceh2Q'}]"
YouTube,Watched Hand gesture control using python. #coding #programming #python #computerscience #smartphone,https://www.youtube.com/watch?v=Fbw-w_4_o1I,,2026-01-02T18:37:59.019Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Wow Info!', 'url': 'https://www.youtube.com/channel/UCaGzEnq-B18XdV13RcWA2TA'}]"
YouTube,Watched 👉 Python ML Hand Gesture Control 🖐 | Control Your PC with Gestures (No CV2/No Mediapipe) 🔥 #shorts,https://www.youtube.com/watch?v=yDQRogD84QM,,2026-01-02T18:37:47.732Z,['YouTube'],,['YouTube watch history'],"[{'name': 'FuzzuTech', 'url': 'https://www.youtube.com/channel/UCU3wzJ_XlyRr0nPp0f4CIdA'}]"
YouTube,Viewed Ads On YouTube Homepage,,,2026-01-02T18:37:11.947Z,['YouTube'],[{'name': 'From Google Ads'}],"['Web & App Activity', 'YouTube watch history']",
YouTube,Watched Bro is in Revenge Mode 🔥💥 | IAS interview #ias #upsc #motivation,https://www.youtube.com/watch?v=e8aaK4N7-eg,,2026-01-02T18:37:10.920Z,['YouTube'],,['YouTube watch history'],"[{'name': 'IAS Ignitia', 'url': 'https://www.youtube.com/channel/UC1xTxWLE_0HLdQQyjl5fdyg'}]"
YouTube,Watched 12 Machine Learning Project ideas for Final Year CSE Students!,https://www.youtube.com/watch?v=S7cjZyTcPb0,,2026-01-02T18:37:10.600Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Codelopment', 'url': 'https://www.youtube.com/channel/UCZ-qVFZubQ-pVHc9SQ9HjzQ'}]"
YouTube,Watched #thanujaputtaswamy#celebrities#funny#comedy#shorts#shortvideos#trending#youtubeshorts#memes#troll,https://www.youtube.com/watch?v=2OpTH8RP_Oc,,2026-01-02T18:37:09.927Z,['YouTube'],,['YouTube watch history'],"[{'name': 'MC MEMES PILLA', 'url': 'https://www.youtube.com/channel/UClF-l6OQWwghhyHS__Cuk_Q'}]"
YouTube,Watched 10 Deep Learning Final Year Project Ideas || Deep learning final year projects with source code,https://www.youtube.com/watch?v=rVSoYHp6MSY,,2026-01-02T18:33:11.036Z,['YouTube'],,['YouTube watch history'],"[{'name': 'IT DESIGNERS', 'url': 'https://www.youtube.com/channel/UC40pqrOg11_L_CY86-kddmA'}]"
YouTube,Watched 5 ML Projects Ideas In Finance For Your Resume,https://www.youtube.com/watch?v=qHk0z5eSf-g,,2026-01-02T18:33:06.150Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Jovian', 'url': 'https://www.youtube.com/channel/UCmKaoNn0OvxVAe7f_8sXYNQ'}]"
YouTube,Watched Unique Deep Learning PROJECT IDEAS 💡🔥,https://www.youtube.com/watch?v=gpumG_gcb7w,,2026-01-02T18:32:56.218Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Codelopment', 'url': 'https://www.youtube.com/channel/UCZ-qVFZubQ-pVHc9SQ9HjzQ'}]"
YouTube,Watched Project 1 : SONAR Rock vs Mine Prediction with Python | End To End Python Machine Learning Project,https://www.youtube.com/watch?v=fiz1ORTBGpY,,2026-01-02T18:32:11.406Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Siddhardhan', 'url': 'https://www.youtube.com/channel/UCG04dVOTmbRYPY1wvshBVDQ'}]"
YouTube,Watched Machine learning project ideas #datascience #data,https://www.youtube.com/watch?v=H-JWKJffkio,,2026-01-02T18:31:55.714Z,['YouTube'],,['YouTube watch history'],"[{'name': 'data science Consultancy', 'url': 'https://www.youtube.com/channel/UCLj4Mj-bbQFlpUAl1C4OC2w'}]"
YouTube,Watched Best AI/ML Projects with Source Code 💡 #cseprojects #technology #career #projects,https://www.youtube.com/watch?v=IBoRxSqLVK4,,2026-01-02T18:31:46.426Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Codelopment', 'url': 'https://www.youtube.com/channel/UCZ-qVFZubQ-pVHc9SQ9HjzQ'}]"
YouTube,Watched 🚨 SHOCKING Chinese Culture 🤯| Aye Jude Unfiltered ✊,https://www.youtube.com/watch?v=W2Li9w3DVVc,,2026-01-02T18:31:42.640Z,['YouTube'],,['YouTube watch history'],"[{'name': 'AyeJude unfiltered', 'url': 'https://www.youtube.com/channel/UCH26LcOJOd31yw0gIpBJFog'}]"
YouTube,Watched EarPods vs IEM ⚔️ నా బెస్ట్ పర్చేజ్ – Moondrop Chu 2 #viral #shorts #viralvideo,https://www.youtube.com/watch?v=5pYv6tzsxdg,,2026-01-02T18:31:41.814Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Prem', 'url': 'https://www.youtube.com/channel/UCe87jOd_A0C8GVJdAJ9DvPA'}]"
YouTube,"Watched చిరంజీవి, బాలయ్యపేరు చెప్పి సాయికుమార్ గారు ఎలా తప్పించుకుంటున్నారో! #saikumar #chiranjeevi #shorts",https://www.youtube.com/watch?v=XodYhxzzBQ8,,2026-01-02T18:31:40.151Z,['YouTube'],,['YouTube watch history'],"[{'name': 'YM Media', 'url': 'https://www.youtube.com/channel/UCh4L5OQEO1K6Y5I-56mRq_w'}]"
YouTube,Watched “The problem with #Kingdom”: #NagaVamsi,https://www.youtube.com/watch?v=LJF8Sx9XEJ0,,2026-01-02T18:31:39.315Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Gulte Pro', 'url': 'https://www.youtube.com/channel/UCCIUgACAK5vTitLMc4Q1mYQ'}]"
YouTube,Watched PODCAST 113 OUT NOWWW ‼️| Telugu Podcast | Raw Talks With VK | #shorts #telugushorts,https://www.youtube.com/watch?v=cSiI5oqcIGk,,2026-01-02T18:31:38.572Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Raw Talks With VK', 'url': 'https://www.youtube.com/channel/UCEW_Fg9lQ2VaS7DLVma01Cg'}]"
YouTube,"Watched Real Time Power BI Project, Blinkit Analysis #powerbi #powerbidashboard #dataanalyst",https://www.youtube.com/watch?v=kgQyvF4gG8E,,2026-01-02T18:30:25.090Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Data Tutorials', 'url': 'https://www.youtube.com/channel/UCBOs6624oqScw8PaU-Jzw9A'}]"
YouTube,Watched What is Power BI?,https://www.youtube.com/watch?v=DsUjC6j3xWE,,2026-01-02T18:29:58.148Z,['YouTube'],,['YouTube watch history'],"[{'name': 'codebasics', 'url': 'https://www.youtube.com/channel/UCh9nVJoWXmFb7sLApWGcLPQ'}]"
YouTube,"Watched Real Time Power BI Project, Blinkit Analysis #powerbi #powerbidashboard #dataanalyst",https://www.youtube.com/watch?v=kgQyvF4gG8E,,2026-01-02T18:29:46.929Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Data Tutorials', 'url': 'https://www.youtube.com/channel/UCBOs6624oqScw8PaU-Jzw9A'}]"
YouTube,Watched Top 5 Data Analysis Project Ideas For Resume | Data Analytics Project Ideas | Intellipaat #Shorts,https://www.youtube.com/watch?v=EEzXlgHPd-w,,2026-01-02T18:29:36.273Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Intellipaat', 'url': 'https://www.youtube.com/channel/UCCktnahuRFYIBtNnKT5IYyg'}]"
YouTube,Watched 'Guess The Ravi Teja Movie' ft. Ashika Ranganath | Bhartha Mahasayulaku Wignyapthi | #Shorts,https://www.youtube.com/watch?v=WBjNA2HW538,,2026-01-02T18:29:18.437Z,['YouTube'],,['YouTube watch history'],"[{'name': 'SLV Cinemas', 'url': 'https://www.youtube.com/channel/UCiWKEIAFbdMIEicYBwKfi0g'}]"
YouTube,Watched Smarter Creatine. More Gains.,https://www.youtube.com/watch?v=ehSzrHEJSsc,,2026-01-02T11:29:17.763Z,['YouTube'],[{'name': 'From Google Ads'}],"['Web & App Activity', 'YouTube watch history']",
YouTube,Watched #Maruthi About #RajaSaab Climax,https://www.youtube.com/watch?v=N-E0s3R1R8c,,2026-01-02T11:29:16.288Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Gulte Pro', 'url': 'https://www.youtube.com/channel/UCCIUgACAK5vTitLMc4Q1mYQ'}]"
YouTube,Watched Heroine Mrunal Thakur Q&A Session With Media at Dacoit Movie Teaser Launch Event | YouWe Media,https://www.youtube.com/watch?v=9S_X0p5CCqw,,2026-01-02T11:28:54.371Z,['YouTube'],,['YouTube watch history'],"[{'name': 'YouWe Media', 'url': 'https://www.youtube.com/channel/UCe-pNhn3DAy9n40HhS8epqw'}]"
YouTube,Watched Dacoit Teaser (Telugu) | Adivi Sesh | Mrunal Thakur | Anurag Kashyap | Shaneil Deo | Mar 19th,https://www.youtube.com/watch?v=Hxe5D0VMmas,,2026-01-02T11:28:12.223Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Annapurna Studios', 'url': 'https://www.youtube.com/channel/UCKA8af7IMMItFjqrYO9KgfQ'}]"
YouTube,Watched Kannepettaro Mix | Dacoit | Extended Version |Adivi Sesh | Mrunal Thakur | Akkineni Nagarjuna |,https://www.youtube.com/watch?v=MYB195qkUco,,2026-01-02T11:28:01.049Z,['YouTube'],,['YouTube watch history'],"[{'name': 'KALYAN MUSIC LIBRARY', 'url': 'https://www.youtube.com/channel/UCKQoMXrhltXHRLcr0mHUSZA'}]"
YouTube,"Watched Gehra Hua | Dhurandhar | Ranveer Singh, Sara Arjun, Shashwat Sachdev, Arijit Singh, Irshad Kamil",https://www.youtube.com/watch?v=GX9x62kFsVU,,2026-01-02T11:26:29.313Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Saregama Music', 'url': 'https://www.youtube.com/channel/UC_A7K2dXFsTMAciGmnNxy-Q'}]"
YouTube,Watched బస్‌ టికెట్లపై 15% OFF* పొందండి. ఇప్పుడే AbhiBus‌లో బస్‌ బుక్‌ చేయండి.,https://www.youtube.com/watch?v=eV79RE2sglA,Watched at 4:56 PM,2026-01-02T11:26:06.324Z,['YouTube'],[{'name': 'From Google Ads'}],"['Web & App Activity', 'YouTube watch history', 'YouTube search history']",
YouTube,Visited market://details?id=com.msf.angelmobile,https://www.google.com/url?q=market://details%3Fid%3Dcom.msf.angelmobile&usg=AOvVaw1rfbUDR7KV22uY6-CHP44s,,2026-01-02T11:23:15.990Z,['YouTube'],[{'name': 'From Google Ads'}],"['Web & App Activity', 'YouTube watch history', 'YouTube search history']",
YouTube,Watched The RajaSaab Trailer 2.0 (Telugu) | Prabhas | Maruthi | Thaman S | TG Vishwa Prasad | Jan 9 2026,https://www.youtube.com/watch?v=E08GZ3pFlnk,,2026-01-02T11:23:00.475Z,['YouTube'],,['YouTube watch history'],"[{'name': 'People Media Factory', 'url': 'https://www.youtube.com/channel/UCrzx3ZPXEZpzEGLF1gIuORQ'}]"
YouTube,Watched Triple Zero 16x9 D 1.0,https://www.youtube.com/watch?v=9PoYzVEFdNo,Watched at 4:52 PM,2026-01-02T11:22:48.290Z,['YouTube'],[{'name': 'From Google Ads'}],"['Web & App Activity', 'YouTube watch history', 'YouTube search history']",
YouTube,"Viewed The saga of big screen dominance continues in 2026! 🔥

Book your tickets.
🔗 - https://linktr.ee/Dhurandhar_BookTicketsNow

#Dhurandhar Cinemas Celebrating Worldwide.",https://www.youtube.com/post/Ugkx2cay_lIpCvz6AQ1vJkt3zXbIZGlTfgNr,,2026-01-02T11:22:20.707Z,['YouTube'],,['YouTube watch history'],"[{'name': 'JioStudios', 'url': 'https://www.youtube.com/channel/UCcXQd6kHKm0b41x8zMVMmMg'}]"
YouTube,"Viewed Welcome to 2026 aka JADAL ZAMANA ❤‍🔥
Happy New Year ✨
#TheParadise in cinemas 26th March, 2026.",https://www.youtube.com/post/UgkxTZUZBpuze6roDdO5vV3RpiorRAKPYa7A,,2026-01-02T11:22:09.753Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Saregama Telugu', 'url': 'https://www.youtube.com/channel/UC68nKdrLbLL0Vj7ilVkLmmg'}]"
YouTube,Watched SPIRIT - First Look Trailer | Rebel Star Prabhas | Sandeep R Vanga |  Triptii | vivek  | FanMade Ai,https://www.youtube.com/watch?v=q1LCmXiR9Zw,,2026-01-01T07:24:40.120Z,['YouTube'],,['YouTube watch history'],"[{'name': 'T-Gold Studio · 2.3M views · 2 hours ago\n\n\n\n\n\n\n', 'url': 'https://www.youtube.com/channel/UCBpDoJbKCPRXFmJWyNblXlg'}]"
YouTube,Watched MTF ad Horizontal 3,https://www.youtube.com/watch?v=0Npet-2rhM0,Watched at 12:54 PM,2026-01-01T07:24:34.334Z,['YouTube'],[{'name': 'From Google Ads'}],"['Web & App Activity', 'YouTube watch history', 'YouTube search history']",
YouTube,Watched Sree Vishnu Hilarious Comments On Anchor Sravanthi..#anchorsravanthi #sreevishnu,https://www.youtube.com/watch?v=VBsJHN8cftY,,2026-01-01T06:00:35.453Z,['YouTube'],,['YouTube watch history'],"[{'name': 'TeluguOne Cinema', 'url': 'https://www.youtube.com/channel/UClil81xNKxtTCdRmLs5qB_g'}]"
YouTube,Watched ప్రభాస్ Swiggy లో ఫుడ్ ఆర్డర్ పెట్టారు Naveen Polishetty Making Fun With Prabhas | Meenakshi | AC,https://www.youtube.com/watch?v=msl0XVAZqOU,,2026-01-01T06:00:33.843Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Always Cinema', 'url': 'https://www.youtube.com/channel/UC6zUWUagxttjbxY5LUieATA'}]"
YouTube,Watched Entering the new year with the #BellaBella vibe💥 | Ravi Teja | Ashika Ranganath |  BMW | #Shorts,https://www.youtube.com/watch?v=uv7byA5ClAc,,2026-01-01T06:00:01.218Z,['YouTube'],,['YouTube watch history'],"[{'name': 'SLV Cinemas', 'url': 'https://www.youtube.com/channel/UCiWKEIAFbdMIEicYBwKfi0g'}]"
YouTube,"Viewed Team #BharthaMahasayulakuWignyapthi wishes everyone a HAPPY NEW YEAR💥🎉
‎
‎Get ready for pure, out-and-out entertainment this Sankranthi 2026 with #BMW🤩
‎
‎GRAND RELEASE WORLDWIDE ON JANUARY 13th, 2026 ❤‍🔥
‎",https://www.youtube.com/post/UgkxMvx9ofVmj-tmjmxkC388rHcvINZXeXFD,,2026-01-01T05:59:49.424Z,['YouTube'],,['YouTube watch history'],"[{'name': 'SLV Cinemas', 'url': 'https://www.youtube.com/channel/UCiWKEIAFbdMIEicYBwKfi0g'}]"
YouTube,Watched Great Actress Mrunal Thakur Dulquer Salman TejaSajja Speech New Update Latest Fan Movie Song Trailer,https://www.youtube.com/watch?v=cFapg6_Ezng,,2025-12-29T15:56:02.046Z,['YouTube'],,['YouTube watch history'],"[{'name': 'KP MEDIA', 'url': 'https://www.youtube.com/channel/UC7ngEe8I7ou9hwGtsgkXyyg'}]"
YouTube,Watched డెకాయిట్ సెట్‌లో మృణాల్ పుట్టినరోజు వేడుక 🎂| Mrunal Birthday Celebration on Dacoit Sets | #Shorts,https://www.youtube.com/watch?v=o4EY0MHdcXk,,2025-12-29T15:55:59.258Z,['YouTube'],,['YouTube watch history'],"[{'name': 'GR Lyrics', 'url': 'https://www.youtube.com/channel/UCd9TyYDP0FPi6w_h9q2CxDA'}]"
YouTube,Watched #motivation #podcast #automobile #rawtalks #telugupodcast #besttelugupodcast #comedy #inspirationals,https://www.youtube.com/watch?v=hIPtS4HjJAI,,2025-12-29T15:55:54.025Z,['YouTube'],,['YouTube watch history'],"[{'name': 'UNOYOGI', 'url': 'https://www.youtube.com/channel/UCloA9iRpjdzBpRJKMJAtASQ'}]"
YouTube,Watched #shivaji ఇది Ego కాదు… Self Respect! | Thaggedhe Le 🔥 | After Shivaji Press Meet  #telugushorts,https://www.youtube.com/watch?v=BKPew4xt9p8,,2025-12-29T15:55:53.497Z,['YouTube'],,['YouTube watch history'],"[{'name': ""The Writer's cut"", 'url': 'https://www.youtube.com/channel/UC2MqRryOG7YEbY8KQn4bx0g'}]"
YouTube,Watched 3.25 కోట్లు పెట్టి తీస్తే ఒక్క రోజే 2.20 కోట్లు గ్రాస్ వచ్చింది Bunny Vas Comments On Eesha | AC,https://www.youtube.com/watch?v=N3J7QzG8c8o,,2025-12-29T15:55:47.964Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Always Cinema', 'url': 'https://www.youtube.com/channel/UC6zUWUagxttjbxY5LUieATA'}]"
YouTube,Watched Biggboss9 contestant Emmanuel Emotional speech about sanjana galrani #shorts SidhuTv .,https://www.youtube.com/watch?v=txBQbRQHbBQ,,2025-12-29T15:55:38.290Z,['YouTube'],,['YouTube watch history'],"[{'name': 'SIDHUTV NETWORK', 'url': 'https://www.youtube.com/channel/UC-8ura-mna5tcVgj1peihvA'}]"
YouTube,Watched నేను ఎవరితో సినిమా తీసిన హిట్ చేస్తున్నారు థాంక్యూ సో మచ్..! | Daily Display |,https://www.youtube.com/watch?v=v4Kkw9Y8ggw,,2025-12-29T15:55:35.854Z,['YouTube'],,['YouTube watch history'],"[{'name': 'DAILY DISPLAY ', 'url': 'https://www.youtube.com/channel/UCRacScEGFIE68Dy9wbyVqYg'}]"
YouTube,Watched 💔                                                   #telugupodcast #rohithgollena #telugumotivation,https://www.youtube.com/watch?v=IFghLhfUlJ8,,2025-12-29T15:55:23.019Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Lazymuscle shots', 'url': 'https://www.youtube.com/channel/UCj0gfAJXSNPGEAeV1Xk4S-Q'}]"
YouTube,Watched నేను' GAY ' కాదు..! Navdeep | Ntv ENT,https://www.youtube.com/watch?v=YUeH-mhQhyg,,2025-12-29T15:55:21.045Z,['YouTube'],,['YouTube watch history'],"[{'name': 'NTV Entertainment ', 'url': 'https://www.youtube.com/channel/UC2J8dGoVpW5WxYf4Of-gbVg'}]"
YouTube,Watched Fun bts day 1 at rehearsals 🫶🏼Dhurandhar / shararat / Ayesha khan / Krystle D’Souza,https://www.youtube.com/watch?v=48mh-i_rVDY,,2025-12-29T15:55:16.617Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Ananya bera', 'url': 'https://www.youtube.com/channel/UCSiJ15x1GUNLD-ahbUr6jLg'}]"
YouTube,Watched Krystle D’Souza🔥Dance with Ranveer Singh on Shararat Song💃|Dhurandhar|The Unseen Shorts,https://www.youtube.com/watch?v=A3ZpC9fitVI,,2025-12-29T15:55:10.850Z,['YouTube'],,['YouTube watch history'],"[{'name': 'The Unseen Shorts', 'url': 'https://www.youtube.com/channel/UCaOGEQnvuxmXohOtVWkWz3A'}]"
YouTube,Watched హారిక SKN మూవీలో హీరోయిన్ గా చేస్తుంది Harika Visuals At 3 Roses Event | Esha Rebba | SKN | AC,https://www.youtube.com/watch?v=WyZkvUF-DsE,,2025-12-29T15:55:02.883Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Always Cinema', 'url': 'https://www.youtube.com/channel/UC6zUWUagxttjbxY5LUieATA'}]"
YouTube,Watched Groww_UAC_Trading_Greeks_L_IN,https://www.youtube.com/watch?v=e-a7bG1mUjI,Watched at 9:24 PM,2025-12-29T15:54:53.877Z,['YouTube'],[{'name': 'From Google Ads'}],"['Web & App Activity', 'YouTube watch history', 'YouTube search history']",
YouTube,Viewed #JagapathiBabu as 'APPALASOORI' from #Peddi,https://www.youtube.com/post/Ugkxtn61wY3HyJrweuJpPiPGQwFlDalZTHr7,,2025-12-29T15:54:52.367Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Mana Stars', 'url': 'https://www.youtube.com/channel/UCLxyhRCoJnRxyGan3YBHm6A'}]"
